wave n k
0.0012382 0.99960391 3.9496e-05
0.0013107 0.99955372 4.8832e-05
0.0013874 0.999503 6.048e-05
0.0014686 0.99944028 7.4977e-05
0.0015545 0.99937257 9.2552e-05
0.0016455 0.99929882 0.00011487
0.0017418 0.99921346 0.00014203
0.0018438 0.99912382 0.00017211
0.0019517 0.99901667 0.00021305
0.0020659 0.9989069 0.00026168
0.0021868 0.998782 0.00032088
0.0023148 0.9986525 0.00039404
0.0024503 0.9985047 0.00047867
0.0025937 0.9983511 0.0005853
0.0027455 0.9981887 0.00071563
0.0029062 0.9980215 0.00086785
0.0030762 0.9978462 0.0010556
0.0032563 0.9976873 0.0012986
0.0034469 0.9975683 0.001587
0.0036486 0.9975034 0.0019281
0.0038621 0.9975966000000001 0.0023377
0.0040882 0.9983733 0.00284
0.0043274 0.99925451 0.0034452
0.0045807 0.9987391 0.00016506
0.0048488 0.9975143 0.00020035
0.0051326 0.9967246 0.0002438
0.005433 0.9959968 0.00029641
0.005751 0.9952553 0.00036044
0.0060875 0.9944735 0.00043808
0.0064438 0.9936388 0.000531
0.006821 0.9927042 0.00064078
0.0072202 0.9916736 0.00077305
0.0076427 0.9905328 0.00093171
0.00809 0.989267 0.0011227
0.0085635 0.987861 0.0013534
0.0090647 0.986302 0.0016296
0.0095952 0.984561 0.0019415
0.010157 0.982607 0.0022872
0.010751 0.980387 0.0026906
0.01138 0.977874 0.0031918
0.012047 0.975045 0.0038365
0.012752 0.971897 0.0046473
0.013498 0.968449 0.005615
0.014288 0.964632 0.0067132
0.015124 0.959849 0.0079645
0.016009 0.955271 0.0094428
0.016946 0.950199 0.011251
0.017938 0.942981 0.01352
0.018988 0.936146 0.016374
0.020099 0.928216 0.019843
0.021276 0.919372 0.024024
0.022521 0.909448 0.029114
0.023839 0.89835 0.035354
0.025234 0.8860399999999999 0.043002
0.026711 0.87236 0.052377
0.028274 0.85711 0.063966
0.029929 0.83982 0.078166
0.031681 0.82648 0.096129
0.033535 0.80417 0.11734
0.035497 0.78623 0.14396
0.037575 0.76654 0.17833
0.039774 0.75375 0.22006
0.042102 0.74671 0.26085
0.044566 0.73688 0.30156
0.047174 0.72498 0.35475
0.049935 0.72253 0.42198
0.052858 0.73812 0.49482
0.055951 0.7694 0.56068
0.059226 0.80543 0.618
0.062692 0.84188 0.67567
0.066361 0.88713 0.74079
0.070245 0.950786 0.80547
0.074357 1.033121 0.85806
0.078708 1.12533 0.89316
0.083315 1.21739 0.90946
0.088191 1.31149 0.9166
0.093353 1.40402 0.90821
0.098816 1.4971999999999999 0.87789
0.1046 1.5824799999999999 0.83038
0.11072 1.6436 0.76732
0.1172 1.6863000000000001 0.70109
0.12406 1.70674 0.63612
0.13132 1.7111800000000001 0.57921
0.13901 1.7045400000000002 0.53494
0.14714 1.68891 0.5037
0.15576 1.67899 0.4829
0.16487 1.6653 0.46981
0.17452 1.65536 0.47118
0.18473 1.62183 0.48377
0.19555 1.61448 0.50225
0.20699 1.62724 0.51305
0.21911 1.6368800000000001 0.51716
0.23193 1.6287099999999999 0.51557
0.2455 1.61534 0.54954
0.25987 1.62411 0.58542
0.27508 1.6438199999999998 0.62016
0.29118 1.66403 0.64783
0.30822 1.69307 0.68367
0.32626 1.73146 0.70802
0.34536 1.76763 0.72489
0.36557 1.80146 0.74232
0.38696 1.83879 0.76068
0.40961 1.88066 0.77472
0.43358 1.92208 0.78247
0.45896 1.96045 0.78804
0.48582 1.99807 0.79399
0.51426 2.0366999999999997 0.79849
0.54435 2.0746 0.80104
0.57621 2.1123000000000003 0.80373
0.60994 2.1524 0.8052
0.64563 2.1951 0.80031
0.68342 2.2293000000000003 0.78446
0.72342 2.2504999999999997 0.78056
0.76576 2.2843999999999998 0.78285
0.81058 2.3158000000000003 0.77314
0.85802 2.3401 0.76737
0.90823 2.3644 0.76563
0.96139 2.3898 0.76523
1.0177 2.4161 0.76574
1.0772 2.444 0.76623
1.1403 2.4726 0.76444
1.207 2.4989 0.76094
1.2776 2.5223 0.75866
1.3524 2.5455 0.75994
1.4316 2.5713 0.7598
1.5153 2.5919 0.75874
1.604 2.6129 0.76584
1.6979 2.6395999999999997 0.77264
1.7973 2.6662 0.77699
1.9025 2.6936999999999998 0.78382
2.0138 2.723 0.78802
2.1317 2.7516 0.79318
2.2564 2.783 0.79857
2.3885 2.8162000000000003 0.80052
2.5283 2.8472999999999997 0.79954
2.6763 2.8768000000000002 0.79877
2.8329 2.9059 0.79757
2.9987 2.9332000000000003 0.79533
3.1742 2.9588 0.79734
3.36 2.9955 0.79612
3.5566 3.0166 0.77504
3.7648 3.0243 0.77782
3.9851 3.0425 0.7852
4.2184 3.0634 0.7914
4.4653 3.0848 0.79721
4.7266 3.1072 0.80233
5.0032 3.1285 0.80387
5.296 3.1444 0.80304
5.606 3.148 0.80359
5.9341 3.142 0.82308
6.2814 3.147 0.86445
6.649 3.1695 0.90428
7.0382 3.2028 0.94746
7.4501 3.2364 0.98754
7.8861 3.2912 1.0281
8.3477 3.3514 1.059
8.8362 3.4254 1.0695
9.3534 3.4815 1.0547
9.9008 3.5197 1.048
10.48 3.5458 1.0347
11.094 3.567 1.0583
11.743 3.6097 1.0627
12.43 3.6353 1.069
13.158 3.6659 1.0853
13.928 3.7022 1.0951
14.743 3.7299 1.0993
15.606 3.7471 1.1166
16.519 3.7843 1.1454
17.486 3.805 1.1479
18.509 3.8371 1.1899
19.593 3.8651 1.1931
20.739 3.883 1.2388
21.953 3.9353 1.2911
23.238 3.9796 1.295
24.598 4.0158000000000005 1.3283
26.038 4.056900000000001 1.3605
27.562 4.1177 1.383
29.175 4.1594 1.4265
30.882 4.2057 1.4448
32.689 4.2704 1.4923
34.603 4.2955000000000005 1.4925
36.628 4.3384 1.5342
38.772 4.3835999999999995 1.5595
41.041 4.414899999999999 1.5892
43.443 4.4474 1.6387
45.985 4.4979 1.6962
48.677 4.565799999999999 1.7412
51.526 4.6289 1.7652
54.541 4.6724 1.7862
57.733 4.7049 1.8249
61.112 4.7459 1.8774
64.689 4.7979 1.928
68.475 4.8441 1.9694
72.482 4.8891 2.0299
76.725 4.941800000000001 2.0759
