wave n k
0.00012747 0.9999930744 2.349e-07
0.00012777 0.9999930436 2.3694e-07
0.00012806 0.999993012 2.3902e-07
0.00012836 0.9999929809 2.4111e-07
0.00012865 0.9999929491 2.432e-07
0.00012895 0.9999929177 2.4528e-07
0.00012925 0.9999928855 2.4739e-07
0.00012955 0.9999928538 2.4952e-07
0.00012984 0.9999928213 2.5168e-07
0.00013014 0.9999927893 2.5385e-07
0.00013044 0.9999927564 2.5604e-07
0.00013074 0.9999927242 2.5824e-07
0.00013105 0.9999926911 2.6046e-07
0.00013135 0.9999926585 2.627e-07
0.00013165 0.9999926251 2.6496e-07
0.00013195 0.9999925923 2.6723e-07
0.00013226 0.9999925586 2.6953e-07
0.00013256 0.9999925254 2.7185e-07
0.00013287 0.9999924914 2.7418e-07
0.00013317 0.999992458 2.7653e-07
0.00013348 0.9999924236 2.789e-07
0.00013379 0.9999923899 2.8129e-07
0.0001341 0.9999923553 2.8371e-07
0.00013441 0.9999923213 2.8614e-07
0.00013472 0.9999922864 2.8859e-07
0.00013503 0.9999922521 2.9106e-07
0.00013534 0.9999922169 2.9354e-07
0.00013565 0.9999921823 2.9604e-07
0.00013596 0.9999921468 2.9856e-07
0.00013628 0.9999921119 3.0111e-07
0.00013659 0.999992076 3.0368e-07
0.00013691 0.9999920409 3.0627e-07
0.00013722 0.9999920048 3.0887e-07
0.00013754 0.9999919693 3.1149e-07
0.00013785 0.9999919329 3.1413e-07
0.00013817 0.9999918972 3.1679e-07
0.00013849 0.9999918603 3.1948e-07
0.00013881 0.9999918243 3.2219e-07
0.00013913 0.9999917873 3.2492e-07
0.00013945 0.999991751 3.2766e-07
0.00013977 0.9999917136 3.3043e-07
0.00014009 0.999991677 3.3321e-07
0.00014042 0.9999916393 3.3601e-07
0.00014074 0.9999916023 3.3884e-07
0.00014107 0.9999915643 3.4169e-07
0.00014139 0.9999915272 3.4455e-07
0.00014172 0.9999914888 3.4745e-07
0.00014204 0.9999914513 3.5036e-07
0.00014237 0.9999914127 3.5329e-07
0.0001427 0.9999913749 3.5624e-07
0.00014303 0.9999913359 3.5921e-07
0.00014336 0.9999912978 3.6221e-07
0.00014369 0.9999912586 3.6522e-07
0.00014402 0.9999912201 3.6826e-07
0.00014435 0.9999911805 3.7131e-07
0.00014468 0.9999911419 3.7439e-07
0.00014502 0.9999911019 3.7749e-07
0.00014535 0.9999910629 3.8062e-07
0.00014569 0.9999910227 3.8377e-07
0.00014602 0.9999909833 3.8695e-07
0.00014636 0.9999909427 3.9015e-07
0.0001467 0.9999909031 3.9338e-07
0.00014704 0.9999908623 3.9662e-07
0.00014737 0.9999908223 3.999e-07
0.00014771 0.9999907811 4.032e-07
0.00014805 0.9999907409 4.0654e-07
0.0001484 0.9999906993 4.0989e-07
0.00014874 0.9999906588 4.1328e-07
0.00014908 0.999990617 4.167e-07
0.00014942 0.9999905761 4.2015e-07
0.00014977 0.999990534 4.2363e-07
0.00015011 0.9999904929 4.2715e-07
0.00015046 0.9999904505 4.3069e-07
0.00015081 0.999990409 4.3426e-07
0.00015115 0.9999903662 4.3787e-07
0.0001515 0.9999903246 4.4151e-07
0.00015185 0.9999902814 4.4519e-07
0.0001522 0.9999902395 4.489e-07
0.00015255 0.9999901961 4.5265e-07
0.0001529 0.9999901538 4.5645e-07
0.00015326 0.9999901101 4.6028e-07
0.00015361 0.9999900677 4.6414e-07
0.00015396 0.9999900236 4.6805e-07
0.00015432 0.999989981 4.7199e-07
0.00015468 0.999989937 4.7598e-07
0.00015503 0.999989894 4.8001e-07
0.00015539 0.999989849 4.8409e-07
0.00015575 0.999989806 4.882e-07
0.00015611 0.999989761 4.9235e-07
0.00015647 0.999989718 4.9653e-07
0.00015683 0.999989673 5.0075e-07
0.00015719 0.999989629 5.0501e-07
0.00015755 0.999989584 5.093e-07
0.00015791 0.99998954 5.1362e-07
0.00015828 0.999989495 5.1798e-07
0.00015864 0.999989451 5.2237e-07
0.00015901 0.999989405 5.2679e-07
0.00015938 0.999989361 5.3125e-07
0.00015974 0.999989316 5.3572e-07
0.00016011 0.999989271 5.4023e-07
0.00016048 0.999989226 5.4476e-07
0.00016085 0.999989181 5.4932e-07
0.00016122 0.999989135 5.5391e-07
0.00016159 0.999989091 5.5852e-07
0.00016197 0.999989045 5.6316e-07
0.00016234 0.999989001 5.6781e-07
0.00016271 0.999988955 5.7249e-07
0.00016309 0.99998891 5.7717e-07
0.00016346 0.999988865 5.8188e-07
0.00016384 0.99998882 5.8659e-07
0.00016422 0.999988775 5.9132e-07
0.0001646 0.99998873 5.9606e-07
0.00016498 0.999988685 6.0081e-07
0.00016536 0.999988641 6.0557e-07
0.00016574 0.999988596 6.1033e-07
0.00016612 0.999988552 6.151e-07
0.0001665 0.999988507 6.1987e-07
0.00016689 0.999988464 6.2465e-07
0.00016727 0.99998842 6.2943e-07
0.00016766 0.999988377 6.3422e-07
0.00016804 0.999988334 6.3903e-07
0.00016843 0.999988293 6.4384e-07
0.00016882 0.99998825 6.4865e-07
0.00016921 0.99998821 6.5348e-07
0.0001696 0.99998817 6.5832e-07
0.00016999 0.999988132 6.6319e-07
0.00017038 0.999988094 6.6808e-07
0.00017077 0.99998806 6.7299e-07
0.00017117 0.999988026 6.7792e-07
0.00017156 0.999987998 6.8287e-07
0.00017196 0.999987972 6.8784e-07
0.00017235 0.999987955 6.9284e-07
0.00017275 0.999987947 6.9786e-07
0.00017315 0.99998796 7.0292e-07
0.00017355 0.999988172 7.0801e-07
0.00017395 0.99998819 4.1436e-07
0.00017435 0.99998792 2.1308e-07
0.00017475 0.999987747 2.0592e-07
0.00017515 0.999987617 2.0766e-07
0.00017556 0.999987514 2.0941e-07
0.00017596 0.999987421 2.1118e-07
0.00017637 0.999987334 2.1297e-07
0.00017678 0.999987251 2.1478e-07
0.00017718 0.999987171 2.1661e-07
0.00017759 0.999987093 2.1845e-07
0.000178 0.999987016 2.2031e-07
0.00017841 0.999986941 2.2218e-07
0.00017882 0.999986867 2.2407e-07
0.00017923 0.999986793 2.2599e-07
0.00017965 0.999986721 2.2792e-07
0.00018006 0.999986648 2.2988e-07
0.00018048 0.999986576 2.3186e-07
0.00018089 0.999986504 2.3387e-07
0.00018131 0.999986433 2.3589e-07
0.00018173 0.999986361 2.3793e-07
0.00018215 0.99998629 2.3999e-07
0.00018257 0.999986219 2.4207e-07
0.00018299 0.999986148 2.4417e-07
0.00018341 0.999986076 2.463e-07
0.00018383 0.999986005 2.4845e-07
0.00018426 0.999985934 2.5062e-07
0.00018468 0.999985863 2.5283e-07
0.00018511 0.999985791 2.5505e-07
0.00018553 0.999985719 2.5729e-07
0.00018596 0.999985647 2.5956e-07
0.00018639 0.999985575 2.6184e-07
0.00018682 0.999985503 2.6415e-07
0.00018725 0.999985431 2.6649e-07
0.00018768 0.999985358 2.6885e-07
0.00018811 0.999985286 2.7124e-07
0.00018855 0.999985212 2.7365e-07
0.00018898 0.99998514 2.7608e-07
0.00018942 0.999985066 2.7854e-07
0.00018985 0.999984993 2.8101e-07
0.00019029 0.999984918 2.8352e-07
0.00019073 0.999984845 2.8605e-07
0.00019117 0.99998477 2.886e-07
0.00019161 0.999984696 2.9119e-07
0.00019205 0.999984621 2.938e-07
0.0001925 0.999984546 2.9643e-07
0.00019294 0.99998447 2.991e-07
0.00019338 0.999984395 3.0179e-07
0.00019383 0.999984318 3.045e-07
0.00019428 0.999984243 3.0723e-07
0.00019472 0.999984166 3.0999e-07
0.00019517 0.999984089 3.1278e-07
0.00019562 0.999984012 3.156e-07
0.00019607 0.999983935 3.1845e-07
0.00019653 0.999983856 3.2132e-07
0.00019698 0.999983779 3.2422e-07
0.00019743 0.9999837 3.2715e-07
0.00019789 0.999983622 3.3011e-07
0.00019835 0.999983542 3.331e-07
0.0001988 0.999983463 3.3612e-07
0.00019926 0.999983383 3.3916e-07
0.00019972 0.999983304 3.4223e-07
0.00020018 0.999983223 3.4532e-07
0.00020064 0.999983143 3.4844e-07
0.0002011 0.999983061 3.5159e-07
0.00020157 0.99998298 3.5478e-07
0.00020203 0.999982898 3.58e-07
0.0002025 0.999982817 3.6125e-07
0.00020297 0.999982734 3.6453e-07
0.00020343 0.999982652 3.6784e-07
0.0002039 0.999982568 3.7118e-07
0.00020437 0.999982485 3.7456e-07
0.00020484 0.999982401 3.7795e-07
0.00020532 0.999982317 3.8138e-07
0.00020579 0.999982232 3.8482e-07
0.00020626 0.999982148 3.8831e-07
0.00020674 0.999982062 3.9183e-07
0.00020722 0.999981977 3.9539e-07
0.00020769 0.99998189 3.9898e-07
0.00020817 0.999981804 4.026e-07
0.00020865 0.999981717 4.0625e-07
0.00020913 0.99998163 4.0993e-07
0.00020961 0.999981542 4.1364e-07
0.0002101 0.999981455 4.1738e-07
0.00021058 0.999981366 4.2116e-07
0.00021107 0.999981278 4.2497e-07
0.00021155 0.999981188 4.2882e-07
0.00021204 0.999981099 4.3269e-07
0.00021253 0.999981009 4.366e-07
0.00021302 0.999980919 4.4054e-07
0.00021351 0.999980828 4.4451e-07
0.000214 0.999980737 4.4852e-07
0.0002145 0.999980645 4.5256e-07
0.00021499 0.999980554 4.5665e-07
0.00021549 0.999980461 4.6077e-07
0.00021598 0.999980369 4.6492e-07
0.00021648 0.999980275 4.691e-07
0.00021698 0.999980182 4.7331e-07
0.00021748 0.999980088 4.7756e-07
0.00021798 0.999979994 4.8186e-07
0.00021848 0.999979898 4.862e-07
0.00021899 0.999979804 4.9057e-07
0.00021949 0.999979707 4.9498e-07
0.00022 0.999979612 4.9944e-07
0.00022051 0.999979514 5.0392e-07
0.00022101 0.999979418 5.0844e-07
0.00022152 0.99997932 5.13e-07
0.00022204 0.999979223 5.1759e-07
0.00022255 0.999979124 5.2223e-07
0.00022306 0.999979025 5.2692e-07
0.00022357 0.999978925 5.3165e-07
0.00022409 0.999978827 5.3642e-07
0.00022461 0.999978726 5.4123e-07
0.00022512 0.999978626 5.4607e-07
0.00022564 0.999978524 5.5096e-07
0.00022616 0.999978423 5.5588e-07
0.00022668 0.99997832 5.6085e-07
0.00022721 0.999978219 5.6586e-07
0.00022773 0.999978115 5.7093e-07
0.00022826 0.999978012 5.7604e-07
0.00022878 0.999977908 5.8119e-07
0.00022931 0.999977804 5.8638e-07
0.00022984 0.999977698 5.9162e-07
0.00023037 0.999977594 5.969e-07
0.0002309 0.999977487 6.0221e-07
0.00023143 0.999977382 6.0758e-07
0.00023196 0.999977274 6.1299e-07
0.0002325 0.999977168 6.1845e-07
0.00023304 0.999977059 6.2397e-07
0.00023357 0.999976952 6.2952e-07
0.00023411 0.999976842 6.3513e-07
0.00023465 0.999976734 6.4077e-07
0.00023519 0.999976623 6.4647e-07
0.00023573 0.999976514 6.5222e-07
0.00023628 0.999976402 6.5803e-07
0.00023682 0.999976292 6.6389e-07
0.00023737 0.999976179 6.6979e-07
0.00023791 0.999976068 6.7573e-07
0.00023846 0.999975954 6.8173e-07
0.00023901 0.999975841 6.8779e-07
0.00023956 0.999975726 6.939e-07
0.00024012 0.999975613 7.0006e-07
0.00024067 0.999975497 7.0627e-07
0.00024122 0.999975383 7.1253e-07
0.00024178 0.999975266 7.1884e-07
0.00024234 0.99997515 7.252e-07
0.0002429 0.999975032 7.3162e-07
0.00024346 0.999974915 7.3809e-07
0.00024402 0.999974796 7.4462e-07
0.00024458 0.999974678 7.5122e-07
0.00024514 0.999974558 7.5787e-07
0.00024571 0.999974439 7.6458e-07
0.00024628 0.999974318 7.7135e-07
0.00024684 0.999974198 7.7817e-07
0.00024741 0.999974075 7.8505e-07
0.00024798 0.999973954 7.9197e-07
0.00024855 0.999973831 7.9895e-07
0.00024913 0.999973709 8.0599e-07
0.0002497 0.999973584 8.1311e-07
0.00025028 0.99997346 8.2029e-07
0.00025085 0.999973334 8.2753e-07
0.00025143 0.99997321 8.3483e-07
0.00025201 0.999973083 8.4218e-07
0.00025259 0.999972957 8.4958e-07
0.00025318 0.999972829 8.5706e-07
0.00025376 0.999972702 8.646e-07
0.00025434 0.999972572 8.7222e-07
0.00025493 0.999972444 8.799e-07
0.00025552 0.999972313 8.8764e-07
0.00025611 0.999972184 8.9545e-07
0.0002567 0.999972052 9.0334e-07
0.00025729 0.999971922 9.1129e-07
0.00025788 0.999971788 9.1932e-07
0.00025848 0.999971657 9.2742e-07
0.00025907 0.999971522 9.3559e-07
0.00025967 0.999971389 9.4384e-07
0.00026027 0.999971254 9.5217e-07
0.00026087 0.99997112 9.6057e-07
0.00026147 0.999970982 9.6906e-07
0.00026207 0.999970847 9.7764e-07
0.00026268 0.999970709 9.863e-07
0.00026328 0.999970572 9.9504e-07
0.00026389 0.999970432 1.0039e-06
0.0002645 0.999970295 1.0128e-06
0.00026511 0.999970153 1.0218e-06
0.00026572 0.999970014 1.0309e-06
0.00026633 0.999969872 1.04e-06
0.00026694 0.999969732 1.0492e-06
0.00026756 0.999969588 1.0586e-06
0.00026818 0.999969446 1.068e-06
0.0002688 0.999969301 1.0775e-06
0.00026941 0.999969158 1.0872e-06
0.00027004 0.999969011 1.0969e-06
0.00027066 0.999968867 1.1068e-06
0.00027128 0.999968719 1.1167e-06
0.00027191 0.999968573 1.1267e-06
0.00027253 0.999968424 1.1368e-06
0.00027316 0.999968278 1.1471e-06
0.00027379 0.999968126 1.1574e-06
0.00027442 0.999967978 1.1679e-06
0.00027506 0.999967826 1.1785e-06
0.00027569 0.999967677 1.1892e-06
0.00027633 0.999967523 1.2e-06
0.00027696 0.999967372 1.2109e-06
0.0002776 0.999967217 1.2219e-06
0.00027824 0.999967065 1.233e-06
0.00027888 0.999966908 1.2441e-06
0.00027953 0.999966755 1.2553e-06
0.00028017 0.999966597 1.2667e-06
0.00028082 0.999966442 1.2782e-06
0.00028146 0.999966283 1.2898e-06
0.00028211 0.999966126 1.3014e-06
0.00028276 0.999965966 1.3131e-06
0.00028341 0.999965808 1.3249e-06
0.00028407 0.999965646 1.3368e-06
0.00028472 0.999965486 1.3488e-06
0.00028538 0.999965323 1.3609e-06
0.00028604 0.999965162 1.3732e-06
0.0002867 0.999964997 1.3855e-06
0.00028736 0.999964835 1.3979e-06
0.00028802 0.999964668 1.4104e-06
0.00028868 0.999964504 1.4229e-06
0.00028935 0.999964336 1.4355e-06
0.00029002 0.999964171 1.4483e-06
0.00029068 0.999964001 1.4612e-06
0.00029135 0.999963834 1.4743e-06
0.00029203 0.999963663 1.4875e-06
0.0002927 0.999963495 1.5007e-06
0.00029337 0.999963321 1.514e-06
0.00029405 0.999963152 1.5274e-06
0.00029473 0.999962977 1.5409e-06
0.00029541 0.999962806 1.5546e-06
0.00029609 0.999962629 1.5684e-06
0.00029677 0.999962457 1.5822e-06
0.00029746 0.999962278 1.5962e-06
0.00029814 0.999962104 1.6102e-06
0.00029883 0.999961924 1.6245e-06
0.00029952 0.999961749 1.6388e-06
0.00030021 0.999961567 1.6533e-06
0.0003009 0.999961389 1.6679e-06
0.00030159 0.999961206 1.6826e-06
0.00030229 0.999961027 1.6974e-06
0.00030299 0.999960842 1.7123e-06
0.00030368 0.999960661 1.7273e-06
0.00030438 0.999960474 1.7425e-06
0.00030509 0.999960292 1.7578e-06
0.00030579 0.999960103 1.7733e-06
0.00030649 0.999959919 1.7888e-06
0.0003072 0.999959729 1.8045e-06
0.00030791 0.999959543 1.8204e-06
0.00030862 0.999959351 1.8363e-06
0.00030933 0.999959163 1.8524e-06
0.00031004 0.99995897 1.8686e-06
0.00031076 0.999958781 1.8849e-06
0.00031147 0.999958584 1.9015e-06
0.00031219 0.999958394 1.9181e-06
0.00031291 0.999958196 1.9348e-06
0.00031363 0.999958003 1.9517e-06
0.00031436 0.999957804 1.9688e-06
0.00031508 0.999957609 1.986e-06
0.00031581 0.999957408 2.0033e-06
0.00031653 0.999957211 2.0208e-06
0.00031726 0.999957008 2.0385e-06
0.000318 0.999956811 2.0563e-06
0.00031873 0.999956605 2.0742e-06
0.00031946 0.999956405 2.0923e-06
0.0003202 0.999956198 2.1106e-06
0.00032094 0.999955996 2.129e-06
0.00032168 0.999955787 2.1475e-06
0.00032242 0.999955584 2.1662e-06
0.00032316 0.999955373 2.185e-06
0.00032391 0.999955167 2.2041e-06
0.00032465 0.999954954 2.2233e-06
0.0003254 0.999954747 2.2427e-06
0.00032615 0.999954531 2.2623e-06
0.0003269 0.999954322 2.282e-06
0.00032766 0.999954105 2.3019e-06
0.00032841 0.999953894 2.322e-06
0.00032917 0.999953675 2.3422e-06
0.00032993 0.999953462 2.3626e-06
0.00033069 0.99995324 2.3832e-06
0.00033145 0.999953025 2.4039e-06
0.00033222 0.999952802 2.4248e-06
0.00033298 0.999952585 2.4459e-06
0.00033375 0.999952359 2.4672e-06
0.00033452 0.99995214 2.4887e-06
0.00033529 0.999951913 2.5105e-06
0.00033606 0.999951691 2.5324e-06
0.00033684 0.999951462 2.5545e-06
0.00033761 0.999951239 2.5768e-06
0.00033839 0.999951007 2.5992e-06
0.00033917 0.999950782 2.6219e-06
0.00033995 0.999950548 2.6447e-06
0.00034074 0.999950321 2.6678e-06
0.00034152 0.999950084 2.691e-06
0.00034231 0.999949855 2.7145e-06
0.0003431 0.999949617 2.7382e-06
0.00034389 0.999949385 2.7622e-06
0.00034468 0.999949145 2.7863e-06
0.00034548 0.999948912 2.8106e-06
0.00034628 0.999948668 2.8352e-06
0.00034707 0.999948433 2.8599e-06
0.00034787 0.999948188 2.8849e-06
0.00034868 0.999947949 2.9101e-06
0.00034948 0.999947702 2.9355e-06
0.00035028 0.999947462 2.9612e-06
0.00035109 0.999947213 2.987e-06
0.0003519 0.99994697 3.0132e-06
0.00035271 0.999946719 3.0395e-06
0.00035353 0.999946475 3.0661e-06
0.00035434 0.999946219 3.0929e-06
0.00035516 0.999945973 3.1199e-06
0.00035598 0.999945717 3.1472e-06
0.0003568 0.999945467 3.1746e-06
0.00035762 0.999945208 3.2024e-06
0.00035844 0.999944958 3.2303e-06
0.00035927 0.999944696 3.2585e-06
0.0003601 0.999944442 3.287e-06
0.00036093 0.999944178 3.3158e-06
0.00036176 0.999943923 3.3449e-06
0.00036259 0.999943656 3.3742e-06
0.00036343 0.999943398 3.4036e-06
0.00036427 0.99994313 3.4332e-06
0.00036511 0.999942869 3.4631e-06
0.00036595 0.999942598 3.4933e-06
0.00036679 0.999942335 3.524e-06
0.00036764 0.99994206 3.5549e-06
0.00036849 0.999941796 3.586e-06
0.00036934 0.999941519 3.6173e-06
0.00037019 0.999941253 3.6489e-06
0.00037104 0.999940972 3.6807e-06
0.0003719 0.999940703 3.713e-06
0.00037275 0.999940422 3.7455e-06
0.00037361 0.999940149 3.7783e-06
0.00037447 0.999939865 3.8114e-06
0.00037534 0.999939591 3.8446e-06
0.0003762 0.999939303 3.8781e-06
0.00037707 0.999939026 3.9119e-06
0.00037794 0.999938737 3.9459e-06
0.00037881 0.999938458 3.9804e-06
0.00037968 0.999938164 4.0153e-06
0.00038056 0.999937883 4.0505e-06
0.00038144 0.999937588 4.086e-06
0.00038232 0.999937303 4.1217e-06
0.0003832 0.999937005 4.1577e-06
0.00038408 0.999936719 4.1939e-06
0.00038497 0.999936417 4.2305e-06
0.00038585 0.999936128 4.2675e-06
0.00038674 0.999935825 4.3048e-06
0.00038763 0.999935532 4.3424e-06
0.00038853 0.999935226 4.3803e-06
0.00038942 0.999934932 4.4184e-06
0.00039032 0.999934623 4.4569e-06
0.00039122 0.999934325 4.4958e-06
0.00039212 0.999934014 4.535e-06
0.00039303 0.999933714 4.5746e-06
0.00039393 0.999933399 4.6145e-06
0.00039484 0.999933096 4.6548e-06
0.00039575 0.999932779 4.6953e-06
0.00039666 0.999932473 4.7362e-06
0.00039758 0.999932153 4.7774e-06
